"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4454","has title","chromium","Fri Nov 08 04:03:43 IST 2024","passed","Fri Nov 08 04:03:47 IST 2024","","example.spec.js","",""
"","8447","Verify Home page title","chromium","Fri Nov 08 04:07:41 IST 2024","passed","Fri Nov 08 04:07:49 IST 2024","","home.spec.js","",""
"","21888","Verify Other page Title","webkit","Fri Nov 08 04:04:08 IST 2024","failed","Fri Nov 08 04:04:30 IST 2024","","home.spec.js","",""
"","8077","Verify Get in Touch form submission","chromium","Fri Nov 08 04:07:41 IST 2024","passed","Fri Nov 08 04:07:49 IST 2024","","home.spec.js","",""
"","7326","Verify Home page","chromium","Fri Nov 08 04:03:43 IST 2024","passed","Fri Nov 08 04:03:50 IST 2024","","home.spec.js","",""
"","8816","Verify Other page title","chromium","Fri Nov 08 04:07:41 IST 2024","failed","Fri Nov 08 04:07:49 IST 2024","","home.spec.js","",""
"","4945","Verify Other page Title","chromium","Fri Nov 08 04:03:48 IST 2024","failed","Fri Nov 08 04:03:53 IST 2024","","home.spec.js","",""
"","5837","get started link","chromium","Fri Nov 08 04:03:43 IST 2024","passed","Fri Nov 08 04:03:49 IST 2024","","example.spec.js","",""
"","10206","Verify Other page title","webkit","Fri Nov 08 04:07:56 IST 2024","failed","Fri Nov 08 04:08:06 IST 2024","","home.spec.js","",""
"","10381","Verify Home page title","webkit","Fri Nov 08 04:07:56 IST 2024","passed","Fri Nov 08 04:08:06 IST 2024","","home.spec.js","",""
"","15975","Verify Home page","webkit","Fri Nov 08 04:04:07 IST 2024","passed","Fri Nov 08 04:04:23 IST 2024","","home.spec.js","",""
"","19009","Verify Get in Touch form submission","webkit","Fri Nov 08 04:07:56 IST 2024","passed","Fri Nov 08 04:08:15 IST 2024","","home.spec.js","",""
"","4838","has title","webkit","Fri Nov 08 04:04:02 IST 2024","passed","Fri Nov 08 04:04:07 IST 2024","","example.spec.js","",""
"","9113","get started link","webkit","Fri Nov 08 04:04:06 IST 2024","passed","Fri Nov 08 04:04:15 IST 2024","","example.spec.js","",""
